iter	MultiClass
0	1.094639906
1	1.090983206
2	1.087571304
3	1.084065571
4	1.080834368
5	1.077835535
6	1.07499733
7	1.072316502
8	1.069836757
9	1.067495293
10	1.065002615
11	1.062904055
12	1.06084435
13	1.05899142
14	1.057217821
15	1.055474873
16	1.053869717
17	1.052320269
18	1.050800607
19	1.049265729
20	1.04815863
21	1.047082962
22	1.045803884
23	1.044844918
24	1.043615176
25	1.042616912
26	1.041521789
27	1.040487973
28	1.039583824
29	1.03863021
30	1.037832468
31	1.036842524
32	1.036134558
33	1.035346472
34	1.034508379
35	1.033719778
36	1.033030312
37	1.032399215
38	1.031810883
39	1.031224115
40	1.030530661
41	1.029898859
42	1.029420859
43	1.02883457
44	1.028277015
45	1.027808062
46	1.027308672
47	1.026803688
48	1.026305023
49	1.025913272
50	1.02555041
51	1.025180721
52	1.024870302
53	1.024510867
54	1.024112223
55	1.023756877
56	1.023456131
57	1.0231743
58	1.022835382
59	1.022539768
60	1.022214111
61	1.021915342
62	1.021694676
63	1.021497365
64	1.021200547
65	1.020966568
66	1.020683971
67	1.020419966
68	1.020155399
69	1.019917248
70	1.019582983
71	1.019353084
72	1.019136956
73	1.018926902
74	1.018723326
75	1.018527322
76	1.018362153
77	1.018166871
78	1.017942862
79	1.017718486
80	1.017532442
81	1.017451108
82	1.017230335
83	1.017073446
84	1.016863921
85	1.016697061
86	1.016522791
87	1.016375127
88	1.016224215
89	1.016033283
90	1.015876163
91	1.0156919
92	1.01552377
93	1.015368539
94	1.015121969
95	1.014912252
96	1.014710648
97	1.01447125
98	1.014298235
99	1.014130189
100	1.013975055
101	1.01383981
102	1.013739055
103	1.013578427
104	1.013466412
105	1.013374264
106	1.013298136
107	1.013217454
108	1.013123012
109	1.013023724
110	1.012946616
111	1.012784278
112	1.012618379
113	1.012544793
114	1.012393646
115	1.012270405
116	1.012199572
117	1.012069657
118	1.0119705
119	1.011825377
120	1.011690625
121	1.011531531
122	1.01145398
123	1.011353222
124	1.011249765
125	1.01110495
126	1.010998522
127	1.010886053
128	1.010739331
129	1.010664123
130	1.010591628
131	1.010444804
132	1.010292408
133	1.010186329
134	1.010020228
135	1.009914878
136	1.009842344
137	1.009668105
138	1.009540986
139	1.009414407
140	1.009321934
141	1.009227853
142	1.009116299
143	1.008997889
144	1.008838529
145	1.008771655
146	1.008674623
147	1.008643264
148	1.008534734
149	1.008443288
150	1.008258624
151	1.008140382
152	1.008076755
153	1.007985964
154	1.007840968
155	1.007737631
156	1.007598274
157	1.007454871
158	1.00737865
159	1.007271777
160	1.007194534
161	1.00714183
162	1.007083572
163	1.006964431
164	1.006860834
165	1.006729241
166	1.006605395
167	1.00643004
168	1.006334562
169	1.006247683
170	1.006141005
171	1.006010332
172	1.005890078
173	1.005768387
174	1.005638508
175	1.005557193
176	1.005415845
177	1.00537863
178	1.005314437
179	1.005230357
180	1.005145304
181	1.005002525
182	1.004891277
183	1.004835788
184	1.004725465
185	1.004659667
186	1.004602264
187	1.004492565
188	1.00444321
189	1.004288839
190	1.004187924
191	1.004099829
192	1.003950558
193	1.003847308
194	1.003725807
195	1.003623151
196	1.00357167
197	1.003399798
198	1.00332636
199	1.003277565
200	1.003114124
201	1.003025773
202	1.002931303
203	1.002806329
204	1.002675595
205	1.002551671
206	1.002449429
207	1.00233473
208	1.002252928
209	1.00211397
210	1.002058646
211	1.002009959
212	1.001979658
213	1.001884015
214	1.001837656
215	1.001753739
216	1.001674024
217	1.001571753
218	1.001475169
219	1.001362785
220	1.001228239
221	1.001145931
222	1.000982882
223	1.000929647
224	1.000854699
225	1.000767992
226	1.00071531
227	1.000587774
228	1.000508736
229	1.00045541
230	1.000335498
231	1.000225698
232	1.00017517
233	1.000094738
234	0.9999831529
235	0.9998895787
236	0.999840913
237	0.9997164697
238	0.9996214048
239	0.9995599556
240	0.9994532966
241	0.9993622773
242	0.9992336332
243	0.999185876
244	0.9990557032
245	0.998951197
246	0.998835893
247	0.9987733999
248	0.9987467065
249	0.9986790481
250	0.9985091143
251	0.9984113015
252	0.9983077324
253	0.9982446177
254	0.9981504136
255	0.998068388
256	0.9979384106
257	0.997839242
258	0.9977189837
259	0.9976205377
260	0.9975429753
261	0.9974308237
262	0.9973643838
263	0.9972664572
264	0.997148619
265	0.9970566049
266	0.9969279952
267	0.9968549584
268	0.9967126368
269	0.9966712331
270	0.9965767123
271	0.9964726588
272	0.9963684295
273	0.9962627785
274	0.9962281283
275	0.9960466649
276	0.995941729
277	0.9958693744
278	0.9957402612
279	0.9956284503
280	0.9954633985
281	0.9953591168
282	0.9952921438
283	0.9951799915
284	0.9951156388
285	0.995015738
286	0.9949360429
287	0.9948406784
288	0.9947983044
289	0.9947372526
290	0.9946026143
291	0.9944932954
292	0.9943753703
293	0.994253803
294	0.9941418674
295	0.9940744276
296	0.9939751967
297	0.9938909293
298	0.9938255303
299	0.9937085612
300	0.9936097536
301	0.9935599979
302	0.9934576742
303	0.9933876758
304	0.9932961039
305	0.9931805085
306	0.9930762305
307	0.9930004562
308	0.9929070584
309	0.9927786931
310	0.9927201356
311	0.9926039387
312	0.9924832971
313	0.9923184811
314	0.9921547092
315	0.9920425355
316	0.9919785559
317	0.9918836347
318	0.9917734118
319	0.9916369469
320	0.9915017262
321	0.9914804391
322	0.9914210178
323	0.9912335194
324	0.9911563821
325	0.9910115769
326	0.9908502228
327	0.9907813132
328	0.9906886985
329	0.990601136
330	0.9905237817
331	0.9903769224
332	0.990261055
333	0.9901185544
334	0.9899341638
335	0.9898552482
336	0.9897576827
337	0.9897123816
338	0.9896032483
339	0.9894550303
340	0.9893797758
341	0.9892689599
