iter	Passed	Remaining
0	199	198946
1	206	103041
2	214	71291
3	221	55233
4	229	45624
5	236	39180
6	244	34622
7	252	31250
8	259	28578
9	266	26376
10	274	24710
11	283	23340
12	293	22269
13	302	21298
14	311	20467
15	320	19710
16	329	19053
17	339	18511
18	348	17994
19	357	17524
20	367	17125
21	378	16834
22	388	16489
23	397	16162
24	406	15870
25	417	15643
26	426	15381
27	436	15144
28	444	14868
29	452	14619
30	459	14374
31	466	14120
32	474	13890
33	481	13691
34	489	13504
35	496	13306
36	504	13125
37	512	12982
38	519	12811
39	527	12663
40	535	12522
41	543	12389
42	551	12271
43	559	12155
44	567	12051
45	575	11940
46	583	11825
47	590	11710
48	599	11626
49	606	11527
50	613	11424
51	622	11342
52	629	11256
53	637	11172
54	645	11092
55	653	11013
56	661	10943
57	669	10872
58	677	10807
59	685	10742
60	693	10679
61	701	10619
62	709	10558
63	719	10522
64	727	10462
65	735	10403
66	743	10350
67	750	10288
68	759	10244
69	768	10215
70	778	10182
71	785	10125
72	794	10086
73	802	10040
74	810	9991
75	818	9951
76	826	9907
77	834	9866
78	843	9830
79	850	9784
80	859	9747
81	867	9710
82	875	9675
83	883	9629
84	890	9589
85	898	9548
86	906	9508
87	913	9470
88	920	9423
89	928	9388
90	935	9342
91	943	9312
92	951	9279
93	959	9245
94	967	9214
95	974	9176
96	981	9140
97	989	9108
98	997	9077
99	1005	9049
100	1012	9014
101	1020	8987
102	1027	8952
103	1035	8918
104	1042	8889
105	1050	8856
106	1056	8819
107	1063	8785
108	1070	8751
109	1077	8721
110	1085	8690
111	1092	8662
112	1099	8633
113	1106	8603
114	1113	8572
115	1121	8546
116	1128	8515
117	1136	8491
118	1143	8467
119	1151	8441
120	1158	8418
121	1166	8395
122	1173	8369
123	1181	8346
124	1188	8318
125	1195	8294
126	1203	8273
127	1210	8248
128	1218	8226
129	1225	8204
130	1233	8179
131	1239	8153
132	1247	8131
133	1255	8110
134	1262	8092
135	1270	8068
136	1277	8044
137	1284	8021
138	1292	8004
139	1299	7982
140	1306	7958
141	1313	7937
142	1321	7917
143	1328	7897
144	1336	7878
145	1342	7855
146	1350	7835
147	1357	7814
148	1364	7793
149	1372	7775
150	1381	7766
151	1388	7744
152	1395	7723
153	1402	7703
154	1409	7686
155	1416	7665
156	1424	7647
157	1431	7628
158	1438	7608
159	1445	7591
160	1452	7568
161	1459	7550
162	1466	7531
163	1473	7513
164	1481	7497
165	1488	7479
166	1496	7463
167	1503	7445
168	1510	7427
169	1517	7409
170	1524	7392
171	1532	7375
172	1538	7356
173	1545	7338
174	1553	7323
175	1561	7310
176	1568	7294
177	1576	7279
178	1583	7261
179	1590	7245
180	1597	7230
181	1605	7216
182	1612	7199
183	1619	7184
184	1627	7167
185	1633	7150
186	1640	7134
187	1648	7118
188	1655	7101
189	1662	7088
190	1670	7074
191	1677	7060
192	1686	7052
193	1693	7036
194	1701	7023
195	1708	7010
196	1715	6994
197	1723	6980
198	1730	6965
199	1737	6949
200	1746	6941
201	1753	6928
202	1761	6915
203	1768	6902
204	1776	6889
205	1783	6875
206	1791	6863
207	1798	6849
208	1807	6842
209	1814	6826
210	1821	6811
211	1828	6796
212	1835	6781
213	1842	6767
214	1849	6753
215	1856	6739
216	1864	6729
217	1872	6717
218	1880	6705
219	1887	6691
220	1896	6683
221	1905	6676
222	1914	6671
223	1923	6663
224	1932	6655
225	1941	6647
226	1949	6638
227	1958	6631
228	1967	6624
229	1976	6616
230	1985	6610
231	1995	6605
232	2004	6597
233	2014	6592
234	2023	6587
235	2032	6580
236	2041	6572
237	2050	6565
238	2057	6552
239	2065	6539
240	2072	6526
241	2079	6514
242	2087	6503
243	2094	6491
244	2102	6478
245	2109	6465
246	2116	6452
247	2123	6440
248	2130	6426
249	2138	6415
250	2146	6404
251	2153	6391
252	2160	6380
253	2167	6367
254	2175	6354
255	2182	6342
256	2189	6331
257	2196	6318
258	2204	6306
259	2211	6294
260	2218	6281
261	2226	6270
262	2233	6258
263	2240	6246
264	2248	6236
265	2255	6225
266	2263	6214
267	2271	6203
268	2278	6192
269	2285	6180
270	2292	6166
271	2299	6155
272	2307	6144
273	2314	6133
274	2322	6121
275	2329	6111
276	2337	6099
277	2343	6087
278	2352	6078
279	2359	6067
280	2367	6057
281	2374	6046
282	2381	6034
283	2389	6023
284	2396	6012
285	2404	6002
286	2411	5991
287	2418	5979
288	2426	5968
289	2433	5957
290	2441	5948
291	2448	5936
292	2455	5924
293	2463	5915
294	2470	5904
295	2478	5893
296	2485	5882
297	2493	5873
298	2500	5862
299	2507	5850
300	2514	5839
301	2522	5829
302	2529	5819
303	2536	5808
304	2544	5798
305	2551	5787
306	2559	5777
307	2566	5766
308	2573	5755
309	2581	5745
310	2588	5735
311	2596	5724
312	2603	5715
313	2611	5704
314	2618	5695
315	2626	5684
316	2633	5674
317	2640	5662
318	2647	5651
319	2655	5643
320	2662	5632
321	2670	5622
322	2677	5612
323	2685	5602
324	2692	5591
325	2699	5582
326	2707	5573
327	2715	5564
328	2723	5554
329	2730	5544
330	2738	5534
331	2746	5525
332	2754	5516
333	2762	5507
334	2769	5497
335	2777	5489
336	2785	5480
337	2792	5469
338	2800	5460
339	2808	5451
340	2815	5441
341	2823	5431
342	2830	5421
343	2839	5414
344	2846	5404
345	2854	5395
346	2862	5386
347	2869	5376
348	2877	5367
349	2885	5358
350	2892	5348
351	2900	5338
352	2907	5328
353	2914	5319
354	2922	5309
355	2929	5299
356	2937	5290
357	2944	5281
358	2952	5271
359	2959	5261
360	2966	5251
361	2973	5241
362	2981	5232
363	2988	5221
364	2996	5212
365	3005	5206
366	3013	5197
367	3021	5188
368	3028	5178
369	3035	5168
370	3042	5158
371	3050	5149
372	3057	5140
373	3066	5132
374	3073	5122
375	3081	5113
376	3088	5103
377	3096	5094
378	3103	5085
379	3110	5074
380	3117	5065
381	3125	5056
382	3132	5046
383	3140	5037
384	3148	5029
385	3155	5019
386	3162	5009
387	3170	5000
388	3177	4991
389	3184	4981
390	3192	4971
391	3199	4962
392	3206	4952
393	3214	4944
394	3222	4935
395	3229	4926
396	3237	4916
397	3244	4907
398	3252	4898
399	3259	4889
400	3267	4881
401	3275	4871
402	3283	4863
403	3290	4854
404	3298	4845
405	3305	4836
406	3312	4826
407	3320	4817
408	3327	4807
409	3335	4799
410	3342	4789
411	3349	4780
412	3356	4770
413	3364	4761
414	3371	4752
415	3379	4743
416	3386	4734
417	3393	4724
418	3400	4715
419	3407	4706
420	3415	4697
421	3422	4687
422	3430	4679
423	3437	4669
424	3444	4660
425	3452	4651
426	3459	4642
427	3467	4633
428	3474	4624
429	3482	4616
430	3492	4610
431	3500	4602
432	3508	4593
433	3515	4584
434	3523	4576
435	3532	4569
436	3542	4563
437	3551	4557
438	3560	4550
439	3570	4544
440	3580	4538
441	3589	4531
442	3598	4524
443	3607	4517
444	3616	4510
445	3626	4504
446	3636	4498
447	3645	4491
448	3654	4484
449	3664	4478
450	3673	4471
451	3682	4464
452	3691	4456
453	3698	4447
454	3705	4438
455	3713	4429
456	3719	4419
457	3726	4410
458	3734	4401
459	3741	4392
460	3750	4385
461	3758	4376
462	3766	4368
