Date,Team,Shots,SOT,Corners,Yellow,Red,Shots_last5,SOT_last5,Corners_last5,Yellow_last5,Red_last5
2024-01-12,AVS,6.0,1.0,2.0,3.0,2.0,,,,,
2024-03-11,AVS,13.0,6.0,4.0,4.0,0.0,6.0,1.0,2.0,3.0,2.0
2024-05-10,AVS,16.0,2.0,7.0,2.0,0.0,9.5,3.5,3.0,3.5,1.0
2024-08-12,AVS,7.0,3.0,3.0,4.0,0.0,11.666666666666666,3.0,4.333333333333333,3.0,0.6666666666666666
2024-09-11,AVS,11.0,2.0,6.0,0.0,0.0,10.5,3.0,4.0,3.25,0.5
2024-10-08,AVS,17.0,3.0,4.0,1.0,0.0,10.6,2.8,4.4,2.6,0.4
2025-01-02,AVS,4.0,1.0,2.0,5.0,1.0,12.8,3.2,4.8,2.2,0.0
2025-02-03,AVS,6.0,3.0,1.0,2.0,0.0,11.0,2.2,4.4,2.4,0.2
2025-02-11,AVS,15.0,5.0,5.0,4.0,0.0,9.0,2.4,3.2,2.4,0.2
2025-04-01,AVS,17.0,2.0,9.0,5.0,0.0,10.6,2.8,3.6,2.4,0.2
2025-04-04,AVS,9.0,2.0,4.0,3.0,0.0,11.8,2.8,4.2,3.4,0.2
2025-04-10,AVS,5.0,2.0,0.0,3.0,0.0,10.2,2.6,4.2,3.8,0.2
2025-05-05,AVS,13.0,5.0,4.0,4.0,0.0,10.4,2.8,3.8,3.4,0.0
2025-06-12,AVS,9.0,5.0,3.0,6.0,1.0,11.8,3.2,4.4,3.8,0.0
2025-08-02,AVS,9.0,3.0,2.0,0.0,0.0,10.6,3.2,4.0,4.2,0.2
2025-08-03,AVS,9.0,1.0,1.0,1.0,0.0,9.0,3.4,2.6,3.2,0.2
2025-09-08,AVS,15.0,2.0,5.0,0.0,0.0,9.0,3.2,2.0,2.8,0.2
2025-09-11,AVS,16.0,8.0,1.0,1.0,0.0,11.0,3.2,3.0,2.2,0.2
2025-11-05,AVS,18.0,2.0,6.0,3.0,0.0,11.6,3.8,2.4,1.6,0.2
2026-02-02,AVS,8.0,3.0,1.0,0.0,0.0,13.4,3.2,3.0,1.0,0.0
2026-02-05,AVS,19.0,3.0,6.0,2.0,0.0,13.2,3.2,2.8,1.0,0.0
2026-03-01,AVS,9.0,4.0,2.0,5.0,0.0,15.2,3.6,3.8,1.2,0.0
2026-03-04,AVS,11.0,3.0,1.0,1.0,0.0,14.0,4.0,3.2,2.2,0.0
2026-07-03,AVS,12.0,2.0,0.0,3.0,0.0,13.0,3.0,3.2,2.2,0.0
2026-09-02,AVS,7.0,1.0,2.0,2.0,0.0,11.8,3.0,2.0,2.2,0.0
2026-10-05,AVS,9.0,5.0,3.0,2.0,0.0,11.6,2.6,2.2,2.6,0.0
2026-11-04,AVS,17.0,4.0,5.0,5.0,0.0,9.6,3.0,1.6,2.6,0.0
,AVS,10.0,5.0,3.0,4.0,1.0,11.2,3.0,2.2,2.6,0.0
,AVS,9.0,2.0,3.0,3.0,0.0,11.0,3.4,2.6,3.2,0.2
,AVS,9.0,2.0,2.0,2.0,0.0,10.4,3.4,3.2,3.2,0.2
,AVS,11.0,3.0,4.0,4.0,0.0,10.8,3.6,3.2,3.2,0.2
,AVS,3.0,0.0,1.0,3.0,0.0,11.2,3.2,3.4,3.6,0.2
,AVS,12.0,1.0,6.0,4.0,0.0,8.4,2.4,2.6,3.2,0.2
,AVS,5.0,1.0,2.0,2.0,0.0,8.8,1.6,3.2,3.2,0.0
,AVS,18.0,7.0,0.0,2.0,0.0,8.0,1.4,3.0,3.0,0.0
,AVS,7.0,1.0,1.0,2.0,0.0,9.8,2.4,2.6,3.0,0.0
,AVS,12.0,6.0,7.0,2.0,0.0,9.0,2.0,2.0,2.6,0.0
,AVS,13.0,3.0,6.0,4.0,0.0,10.8,3.2,3.2,2.4,0.0
,AVS,8.0,1.0,1.0,3.0,0.0,11.0,3.6,3.2,2.4,0.0
,AVS,11.0,3.0,4.0,0.0,0.0,11.6,3.6,3.0,2.6,0.0
,AVS,11.0,4.0,4.0,5.0,0.0,10.2,2.8,3.8,2.2,0.0
,AVS,8.0,2.0,3.0,4.0,1.0,11.0,3.4,4.4,2.8,0.0
,AVS,6.0,1.0,2.0,2.0,0.0,10.2,2.6,3.6,3.2,0.2
,AVS,4.0,2.0,3.0,2.0,0.0,8.8,2.2,2.8,2.8,0.2
,AVS,10.0,3.0,3.0,7.0,0.0,8.0,2.4,3.2,2.6,0.2
,AVS,10.0,3.0,4.0,3.0,0.0,7.8,2.4,3.0,4.0,0.2
,AVS,8.0,3.0,2.0,7.0,1.0,7.6,2.2,3.0,3.6,0.2
,AVS,10.0,3.0,1.0,4.0,0.0,7.6,2.4,2.8,4.2,0.2
,AVS,4.0,2.0,3.0,3.0,0.0,8.4,2.8,2.6,4.6,0.2
,AVS,13.0,3.0,5.0,1.0,0.0,8.4,2.8,2.6,4.8,0.2
,AVS,12.0,4.0,5.0,2.0,0.0,9.0,2.8,3.0,3.6,0.2
,AVS,8.0,1.0,2.0,1.0,0.0,9.4,3.0,3.2,3.4,0.2
